Year,Estimate,Lower bound,Upper bound
2022,6.49281863557221,4.69638620468611,8.95855368253575
2021,6.72055209260796,5.07883945842068,8.91032813505865
2020,6.98395691246503,5.49734411992219,8.87379694403766
2019,7.26961296573332,5.97005457747033,8.81955149727085
2018,7.56640020180878,6.49016630079562,8.82804922742632
2017,7.91852289781187,7.06798282354372,8.88718516886465
2016,8.31464760026526,7.6854772301972,8.98948308299626
2015,8.77587142669137,8.35024466920243,9.23227331965387
2014,9.30030982892021,9.01300265139824,9.60109965852305
2013,9.85034110049927,9.63413087337798,10.0698490190402
2012,10.3721707299647,10.1676804599004,10.579271009548
2011,10.8359580508021,10.6092004518663,11.0608661359819
2010,11.2192348949646,10.9736049661455,11.4692008023033
2009,20.7590328382311,20.3143343432213,21.2163434444438
2008,11.9563253872127,11.7059947806735,12.2166382373742
2007,12.5747587300535,12.3230388718729,12.831388803882
2006,13.345364486302,13.0834663459136,13.6205563547862
2005,14.0840980146085,13.7945622551854,14.3874188349326
2004,28.7371902879597,28.1543038825109,29.3435455012629
2003,15.1226206182772,14.8060829591394,15.4464651546646
2002,15.580471530747,15.2739652907061,15.8927935438013
2001,16.1009902439823,15.7931942531196,16.4173448903559
2000,16.742311374546,16.4249482839525,17.0656910341143
1999,17.5223813323984,17.2013725113333,17.856130905386
1998,18.3552535371762,18.0127402176035,18.7178813205071
1997,19.1341503799362,18.7726760103359,19.5008503152024
1996,19.8175622301127,19.4412066158559,20.1985720944606
1995,20.4115931875522,20.0258557444007,20.8010828713286
1994,20.9215733925005,20.5315313279701,21.3180331617334
1993,21.3411206961291,20.9311227373728,21.7559921368487
1992,21.6822124288414,21.2568178049312,22.0989496256556
1991,21.9675228643756,21.5286711418296,22.4176059297675
1990,22.2579007960928,21.7914443503439,22.7497723234732
1989,26.5747779148333,26.0070116766186,27.1414047330238
1988,23.5281268535454,23.0218213039705,24.0282190782906
1987,25.0778729296487,24.573846700944,25.5748706342594
1986,27.3705864411818,26.8559401467307,27.8845163230289
1985,30.2494451229613,29.6799091427256,30.8291282911735
1984,33.5004637390817,32.8881127922799,34.1418965649332
1983,36.8516471228174,36.1566116297722,37.5933539944516
1982,39.9851089115718,39.2391753902725,40.7738584748426
1981,42.9726326133672,42.0961329984455,43.8556734586438
1980,46.1794984669851,45.1206994816767,47.2510625728282
1979,49.8649104994927,48.6053390984887,51.1431294785217
1978,53.8082046625473,52.2621515369994,55.3833375720839
1977,57.6644258570741,55.8022023654779,59.5703479043692
1976,61.1610972391932,58.8509040707976,63.4735103857812
1975,64.0486497042992,61.2184593884717,66.8683465327482
1974,66.1333037210071,62.9421197975684,69.3569255922806
1973,67.5875906206769,64.1948014816181,71.0618295685162
1972,68.5731647131412,65.1753326355179,72.0632802320129
1971,69.3713889571172,66.1619237078807,72.6033460422288
1970,70.2346196245672,67.3991888944973,73.0732666941129
1969,71.4163532245255,69.1027410565062,73.7410153273576
1968,73.1252335541844,71.2612792271738,75.0147121027302
1967,75.4743754926533,73.9358621721237,77.0612876305986
1966,78.2043137300621,76.764047221504,79.6995385745303
1965,80.7632356691087,79.2764554450147,82.2682686977977
1964,82.8378279396392,81.3100855780414,84.3596453835401
1963,84.7258282212313,83.1101139299257,86.374007952271
1962,86.8581096715723,85.2208910085478,88.4887142668774
1961,89.7279221269055,88.0413582217785,91.4332424561579
1960,93.9373964167002,92.1752070537906,95.7655829393338
1959,99.7437903945389,97.8965810620923,101.681903272634
1958,106.275549745598,104.223925024501,108.420921953957
1957,112.436148618498,110.068989266667,114.926557042298
1956,117.699020941217,114.39454922347,121.089379623265
1955,121.891305128161,117.015403465751,126.9098495598
1954,124.914466257722,117.772924454525,132.382686815521
1953,127.207225881981,117.202769492664,137.953236357713
1952,128.915536243041,115.71344967651,143.513067990471
1951,130.432901688998,113.495556177155,150.12604639123